key,en,ru
CH_1,Banshee,Баньши
CH_3,Basilisk,Василиск
CH_4,Boggart,Боггарт
CH_6,Centaur,Кентавр
CH_7,Chimera,Химера
CH_9,Cyclops,Циклоп
CH_11,Demon,Демон
CH_13,Djinn,Джинн
CH_15,Dragon,Дракон
CH_17,Dwarf,Гном
CH_19,Elf,Эльф
CH_21,Fairy,Фея
CH_23,Gargoyle,Гаргулья
CH_25,Ghost,Призрак
CH_26,Giant,Гигант
CH_28,Gnome,Гном
CH_30,Goblin,Гоблин
CH_32,Griffin,Грифон
CH_33,Harpy,Гарпия
CH_34,Hydra,Гидра
CH_35,Kelpie,Келпи
CH_37,Leprechaun,Лепрекон
CH_38,Lich,Лич
CH_40,Mermaid,Русалка
CH_42,Minotaur,Минотавр
CH_44,Nymph,Нимфа
CH_46,Orc,Орк
CH_47,Pegasus,Пегас
CH_49,Phoenix,Феникс
CH_51,Satyr,Сатир
CH_53,Sphinx,Сфинкс
CH_55,Troll,Тролль
CH_57,Unicorn,Единорог
CH_59,Vampire,Вампир
CH_61,Wendigo,Вендиго
CH_63,Werewolf,Оборотень
Q_0,"In times of turmoil or chaos, how do you usually respond?",Как вы обычно реагируете на беспорядки и хаос?
Q_1,"What do you value more: stability and routine, or the thrill of uncertainty and adventure?",Что вы цените больше: стабильность и рутину или острые ощущения от неопределенности и приключений?
Q_3,What drives you to take action when faced with injustice or oppression?,"Что побуждает вас действовать, когда вы сталкиваетесь с несправедливостью или угнетением?"
Q_4,What is the most important quality for you in forming and maintaining relationships?,Какое качество является для вас наиболее важным в формировании и поддержании отношений?
Q_5,What motivates you to take risks or push boundaries?,Что побуждает вас идти на риск или расширять границы?
Q_7,"When dealing with complex social situations, do you prefer to:","Когда вы сталкиваетесь со сложными социальными ситуациями, предпочитаете ли вы:"
Q_10,"When exploring a mysterious place, what drives your curiosity?","Что движет вашим любопытством, когда вы исследуете загадочное место?"
Q_11,"When exploring a mysterious place, what is most important to you?","Что для вас важнее всего, когда вы исследуете загадочное место?"
Q_14,"When exploring an abandoned ruin, what do you usually look for first?","Когда вы исследуете заброшенные руины, что вы обычно ищете в первую очередь?"
Q_15,"When faced with a difficult decision, what do you typically rely on to guide your choice?","Когда вы сталкиваетесь с трудным решением, на что вы обычно опираетесь при выборе?"
Q_19,"When facing a great challenge or adversity, how do you typically respond?","Как вы обычно реагируете, когда сталкиваетесь с серьезными проблемами или трудностями?"
Q_20,"When navigating unfamiliar territory, what do you usually prioritize?","Когда вы ориентируетесь на незнакомой территории, что вы обычно ставите на первое место?"
AN_0,A desire to test my own limits and see what I'm capable of,"Желание проверить свои силы и узнать, на что я способен"
AN_1,A higher power or divine guidance,Высшие силы или божественное руководство
AN_2,"A mix of both, I like having a sense of security but also being open to new experiences","Смешение того и другого: мне нравится чувствовать себя уверенно, но в то же время быть открытым для нового опыта"
AN_3,A sense of duty to prove myself to others,"Чувство долга, чтобы показать себя другим"
AN_6,A sense of responsibility to uncover the source of a mystery,Чувство ответственности за раскрытие тайны.
AN_9,A way to escape or a safe route out,Способ побега или безопасный выход
AN_12,Ancient artifacts or relics,Древние артефакты или реликвии
AN_15,"Any signs of recent or past life, such as clues or graffiti","Любые признаки недавней или прошлой жизни, например, подсказки или граффити."
AN_17,Avoid confrontation and step back,Избегайте конфронтации и отступайте
AN_18,Building trust through shared experiences,Укрепление доверия через совместный опыт
AN_22,By finding creative ways to circumvent it,Находя творческие пути обхода
AN_26,By retreating and re-evaluating my approach,Отступая и переоценивая свой подход
AN_30,By seeking help from others,Обращаясь за помощью к другим людям.
AN_31,Emotional connections and relationships,Эмоциональные связи и отношения
AN_32,Exploring every nook and cranny,Исследуя каждый уголок
AN_33,Fear of being left behind or missing out on an opportunity,Страх остаться позади или упустить возможность
AN_34,Finding a safe route to your destination,Поиск безопасного пути к цели
AN_35,Finding ways to utilize the space for your own benefit,Поиск способов использовать пространство с пользой для себя
AN_36,Fostering a sense of mutual respect and admiration,Укрепление чувства взаимного уважения и восхищения
AN_37,I crave stability and routine,Я жажду стабильности и рутины
AN_38,I let my emotions run wild and take action instinctively,Я даю волю своим эмоциям и действую инстинктивно
AN_39,I seek guidance from others and follow their lead,Я ищу руководства у других и следую их примеру
AN_40,I tend to retreat and observe from a safe distance,Я склонен отступать и наблюдать с безопасного расстояния
AN_41,I try to stay calm and think clearly,Я стараюсь сохранять спокойствие и ясно мыслить
AN_42,Logic and rational thinking,Логика и рациональное мышление
AN_44,Manipulate the situation to achieve your goals,Манипулировать ситуацией для достижения своих целей
AN_45,Manipulating others to get what I want,"Манипулирую другими, чтобы получить желаемое"
AN_46,"Neither, I prefer to avoid change altogether","Ни то, ни другое, я предпочитаю вообще избегать перемен"
AN_48,Observe and listen before speaking up,"Наблюдать и слушать, прежде чем высказаться"
AN_51,Potential traps or hidden dangers,Потенциальные ловушки или скрытые опасности
AN_52,Seeking out local guides or allies,Искать местных проводников или союзников
AN_53,Sharing secrets and fostering a sense of belonging,Делиться секретами и укреплять чувство сопричастности
AN_55,Take charge and lead the group,Взять на себя ответственность и возглавить группу
AN_58,The desire to uncover the truth behind a legend,"Желание раскрыть правду, скрывающуюся за легендой"
AN_59,The discovery of hidden secrets,Открытие скрытых секретов
AN_62,The potential for hidden treasures or secrets,Возможность найти спрятанные сокровища или секреты
AN_65,The thrill of facing unknown dangers and overcoming them,Острые ощущения от столкновения с неизвестными опасностями и их преодоления
AN_66,The thrill of potential danger,Трепет от потенциальной опасности
AN_67,The thrill of uncertainty and adventure calls to me,Острые ощущения от неопределенности и приключений
AN_68,The thrill of uncertainty and the possibility of gaining something new,Трепет неопределенности и возможность получить что-то новое
AN_69,Understanding the history and culture behind the place,Понимание истории и культуры этого места
AN_70,Using magical or technological means to get a clear view of the area,Использование магических или технологических средств для получения четкого представления о местности
AN_74,With determination to overcome it,С решимостью преодолеть его
AN_76,You believe in finding ways to subvert or undermine the oppressive system from within,"Вы верите в то, что сможете найти способы подорвать или разрушить угнетающую систему изнутри."
AN_78,You feel compelled to stand up and fight against the oppressors with physical force,"Вы чувствуете, что вынуждены встать и бороться с угнетателями с помощью физической силы"
AN_80,You prefer to maintain a safe distance and focus on protecting yourself and those you care about,"Вы предпочитаете держаться на безопасном расстоянии и сосредоточиться на защите себя и тех, кто вам дорог"
AN_82,You want to use your words to rally others and advocate for change,"Вы хотите использовать свои слова, чтобы сплотить других и выступить за перемены."
AN_83,Your instincts and intuition,Ваши инстинкты и интуиция